GEOID,year,renter_occupied_household_size,median_gross_rent,median_household_income,num_af_am_alone,num_hisp,units,occupied,for_rent,black_alone_owner_occupied,num_with_high_school_degree,num_with_ged,num_unemployed
421010028023,2013,2.62,977.0,33396.0,0.0,13.0,615.0,558.0,0.0,0.0,203.0,0.0,15.0
421010028024,2013,1.86,744.0,63313.0,17.0,0.0,445.0,428.0,0.0,0.0,237.0,0.0,17.0
421010028025,2013,-666666666.0,581.0,55096.0,0.0,15.0,563.0,375.0,71.0,0.0,276.0,21.0,24.0
421010029001,2013,1.97,811.0,74250.0,10.0,227.0,786.0,731.0,0.0,0.0,356.0,17.0,44.0
421010029002,2013,-666666666.0,915.0,43679.0,62.0,0.0,417.0,341.0,40.0,15.0,78.0,50.0,0.0
421010029003,2013,2.02,1009.0,55000.0,11.0,137.0,933.0,848.0,0.0,0.0,255.0,0.0,141.0
421010030011,2013,1.97,702.0,41776.0,0.0,145.0,381.0,273.0,35.0,0.0,127.0,8.0,39.0
421010030012,2013,2.76,1164.0,72868.0,29.0,41.0,344.0,330.0,0.0,0.0,106.0,19.0,24.0
421010030013,2013,2.15,827.0,33843.0,427.0,73.0,516.0,425.0,43.0,101.0,171.0,51.0,36.0
421010030014,2013,3.44,652.0,27031.0,93.0,0.0,333.0,286.0,13.0,34.0,146.0,45.0,69.0
421010030015,2013,4.4,992.0,44808.0,209.0,168.0,220.0,220.0,0.0,66.0,117.0,17.0,22.0
421010030021,2013,2.33,946.0,40521.0,375.0,20.0,394.0,304.0,0.0,90.0,127.0,28.0,24.0
421010030022,2013,2.77,688.0,23159.0,892.0,20.0,494.0,427.0,0.0,120.0,244.0,33.0,134.0
421010030023,2013,2.65,882.0,27174.0,573.0,28.0,294.0,218.0,25.0,129.0,91.0,46.0,109.0
421010030024,2013,2.06,645.0,24271.0,269.0,23.0,397.0,275.0,46.0,64.0,79.0,0.0,16.0
421010031001,2013,1.99,696.0,26175.0,840.0,0.0,492.0,411.0,0.0,108.0,131.0,48.0,86.0
421010031002,2013,1.49,793.0,29810.0,299.0,57.0,322.0,285.0,0.0,84.0,107.0,0.0,131.0
421010031003,2013,1.71,614.0,19259.0,173.0,8.0,296.0,146.0,0.0,83.0,41.0,2.0,21.0
421010031004,2013,2.42,833.0,28986.0,737.0,0.0,390.0,344.0,0.0,183.0,82.0,13.0,30.0
421010031005,2013,2.14,866.0,24432.0,724.0,0.0,511.0,359.0,32.0,174.0,232.0,0.0,50.0
421010031006,2013,1.21,346.0,16500.0,413.0,0.0,381.0,238.0,27.0,99.0,55.0,9.0,8.0
421010032001,2013,1.57,969.0,26375.0,578.0,0.0,347.0,301.0,46.0,232.0,229.0,44.0,60.0
421010032002,2013,3.91,-666666666.0,19872.0,816.0,0.0,369.0,266.0,0.0,216.0,345.0,10.0,18.0
421010032003,2013,2.71,1097.0,33125.0,1052.0,0.0,553.0,407.0,14.0,249.0,141.0,108.0,61.0
421010032004,2013,1.93,718.0,22619.0,536.0,0.0,312.0,218.0,0.0,116.0,115.0,0.0,31.0
421010032005,2013,4.0,1284.0,16662.0,504.0,0.0,356.0,259.0,0.0,124.0,248.0,14.0,39.0
421010032006,2013,2.72,512.0,16833.0,465.0,0.0,432.0,268.0,20.0,71.0,212.0,9.0,106.0
421010033001,2013,3.45,955.0,17241.0,1868.0,0.0,920.0,731.0,114.0,85.0,664.0,57.0,627.0
421010033002,2013,1.79,841.0,18681.0,385.0,5.0,482.0,358.0,18.0,163.0,199.0,13.0,73.0
421010033003,2013,3.2,783.0,29120.0,480.0,0.0,361.0,248.0,0.0,27.0,275.0,11.0,60.0
421010033004,2013,1.35,777.0,10179.0,241.0,42.0,238.0,208.0,0.0,100.0,96.0,31.0,0.0
421010033005,2013,3.63,1074.0,40754.0,218.0,83.0,451.0,385.0,0.0,14.0,205.0,19.0,66.0
421010033006,2013,1.66,945.0,20881.0,708.0,60.0,401.0,335.0,0.0,202.0,316.0,43.0,118.0
421010036001,2013,2.24,927.0,28627.0,564.0,0.0,841.0,799.0,0.0,153.0,266.0,113.0,117.0
421010036002,2013,3.17,668.0,22667.0,806.0,0.0,390.0,390.0,0.0,62.0,245.0,22.0,59.0
421010036003,2013,3.08,261.0,11250.0,2412.0,751.0,1167.0,1035.0,0.0,0.0,431.0,44.0,211.0
421010036004,2013,2.93,671.0,21815.0,782.0,0.0,471.0,471.0,0.0,28.0,107.0,22.0,12.0
421010037011,2013,3.01,872.0,23385.0,979.0,139.0,503.0,457.0,0.0,103.0,275.0,79.0,136.0
421010037012,2013,3.06,787.0,35810.0,300.0,241.0,463.0,425.0,0.0,141.0,328.0,24.0,111.0
421010037013,2013,3.82,830.0,42500.0,920.0,59.0,496.0,362.0,78.0,137.0,345.0,0.0,183.0
421010037014,2013,3.48,1082.0,62603.0,1837.0,65.0,667.0,525.0,26.0,129.0,304.0,57.0,65.0
421010037015,2013,4.05,1194.0,16855.0,749.0,252.0,551.0,350.0,33.0,227.0,254.0,0.0,106.0
421010037021,2013,2.61,1047.0,38826.0,379.0,218.0,548.0,503.0,22.0,98.0,175.0,29.0,62.0
421010037022,2013,2.72,933.0,31637.0,842.0,10.0,621.0,571.0,0.0,152.0,295.0,40.0,76.0
421010037023,2013,2.18,806.0,34344.0,321.0,38.0,344.0,327.0,0.0,39.0,148.0,10.0,220.0
421010038001,2013,2.0,-666666666.0,82045.0,0.0,11.0,444.0,438.0,0.0,0.0,377.0,0.0,46.0
421010038002,2013,1.35,871.0,43611.0,1.0,0.0,462.0,462.0,0.0,0.0,246.0,23.0,10.0
421010038003,2013,2.69,923.0,46875.0,0.0,19.0,337.0,306.0,0.0,0.0,117.0,64.0,67.0
421010038004,2013,1.36,-666666666.0,59583.0,0.0,26.0,408.0,379.0,0.0,0.0,152.0,27.0,40.0
421010039011,2013,2.68,894.0,36964.0,205.0,48.0,704.0,642.0,0.0,69.0,389.0,56.0,68.0
421010039012,2013,2.69,1020.0,30577.0,0.0,194.0,612.0,612.0,0.0,0.0,595.0,0.0,109.0
421010039013,2013,2.38,796.0,42625.0,13.0,48.0,794.0,749.0,0.0,13.0,663.0,43.0,143.0
421010039014,2013,2.29,895.0,24429.0,326.0,69.0,700.0,625.0,15.0,61.0,240.0,47.0,48.0
421010039021,2013,2.09,850.0,44848.0,0.0,54.0,742.0,652.0,90.0,0.0,378.0,0.0,87.0
421010039022,2013,-666666666.0,-666666666.0,69412.0,0.0,0.0,472.0,454.0,0.0,0.0,366.0,31.0,66.0
421010039023,2013,-666666666.0,-666666666.0,58290.0,19.0,0.0,401.0,401.0,0.0,0.0,326.0,49.0,41.0
421010039024,2013,1.69,1021.0,56731.0,0.0,23.0,943.0,878.0,0.0,0.0,763.0,61.0,107.0
421010040011,2013,2.84,941.0,31974.0,57.0,100.0,570.0,536.0,0.0,0.0,132.0,30.0,257.0
421010040012,2013,2.6,874.0,31518.0,0.0,58.0,512.0,466.0,0.0,0.0,216.0,6.0,41.0
421010040013,2013,1.49,958.0,35263.0,27.0,0.0,352.0,342.0,0.0,0.0,188.0,0.0,49.0
421010040014,2013,1.26,826.0,47083.0,60.0,80.0,546.0,537.0,0.0,23.0,210.0,53.0,27.0
421010040021,2013,-666666666.0,1088.0,37229.0,0.0,75.0,717.0,505.0,50.0,0.0,346.0,31.0,103.0
421010040022,2013,1.67,-666666666.0,47222.0,0.0,175.0,540.0,540.0,0.0,0.0,349.0,99.0,122.0
421010040023,2013,2.16,695.0,38250.0,0.0,76.0,516.0,516.0,0.0,0.0,229.0,53.0,67.0
421010040024,2013,1.68,-666666666.0,90323.0,0.0,0.0,483.0,432.0,0.0,0.0,356.0,34.0,50.0
421010041011,2013,4.08,809.0,29336.0,553.0,281.0,604.0,485.0,0.0,128.0,158.0,36.0,230.0
421010041012,2013,2.79,696.0,22143.0,290.0,256.0,436.0,436.0,0.0,78.0,319.0,82.0,98.0
421010041013,2013,3.42,1058.0,23676.0,197.0,367.0,729.0,610.0,0.0,25.0,199.0,50.0,139.0
421010041014,2013,2.81,893.0,26417.0,332.0,372.0,697.0,569.0,0.0,68.0,352.0,64.0,125.0
421010041021,2013,4.98,996.0,29886.0,559.0,435.0,750.0,566.0,17.0,29.0,452.0,36.0,157.0
421010041022,2013,2.84,914.0,36523.0,899.0,200.0,1015.0,899.0,38.0,99.0,511.0,26.0,185.0
