,year,GEOID,crime_count
0,2011,420171014012,1
1,2011,420454021001,4
2,2011,420454023001,4
3,2011,420912001041,2
4,2011,420912001051,3
5,2011,420912019021,1
6,2011,420912020002,1
7,2011,420912022011,1
8,2011,420912022013,1
9,2011,420912022014,21
10,2011,420912022021,2
11,2011,420912022022,1
12,2011,420912024012,3
13,2011,420912024025,7
14,2011,420912025001,11
15,2011,420912025002,3
16,2011,420912043001,16
17,2011,420912043002,10
18,2011,420912045002,2
19,2011,420912045004,1
20,2011,420912054002,2
21,2011,420912055032,7
22,2011,420912103003,2
23,2011,420912104002,1
24,2011,420912105001,1
25,2011,420912105004,1
26,2011,421010001001,351
27,2011,421010001002,241
28,2011,421010002001,569
29,2011,421010003001,546
30,2011,421010003002,182
31,2011,421010004011,266
32,2011,421010004021,77
33,2011,421010004022,1582
34,2011,421010005001,1970
35,2011,421010006001,528
36,2011,421010007001,114
37,2011,421010007002,1082
38,2011,421010007003,71
39,2011,421010008011,59
40,2011,421010008031,33
41,2011,421010008032,65
42,2011,421010008033,94
43,2011,421010008034,26
44,2011,421010008041,228
45,2011,421010008042,140
46,2011,421010008043,258
47,2011,421010009011,405
48,2011,421010009012,272
49,2011,421010009021,119
50,2011,421010009022,107
51,2011,421010010011,76
52,2011,421010010012,185
53,2011,421010010021,557
54,2011,421010010022,54
55,2011,421010010023,116
56,2011,421010011011,77
57,2011,421010011012,103
58,2011,421010011013,133
59,2011,421010011014,66
60,2011,421010011021,343
61,2011,421010011022,85
62,2011,421010012011,32
63,2011,421010012012,72
64,2011,421010012013,62
65,2011,421010012014,56
66,2011,421010012021,90
67,2011,421010012022,69
68,2011,421010012023,46
69,2011,421010012024,106
70,2011,421010012025,43
71,2011,421010013001,57
72,2011,421010013002,50
73,2011,421010013003,72
74,2011,421010013004,40
75,2011,421010013005,179
76,2011,421010014001,116
77,2011,421010014002,56
78,2011,421010014003,191
79,2011,421010015001,159
80,2011,421010015002,247
81,2011,421010016001,347
82,2011,421010016002,144
83,2011,421010017001,87
84,2011,421010017002,102
85,2011,421010018001,48
86,2011,421010018002,228
87,2011,421010019001,90
88,2011,421010019002,158
89,2011,421010019003,210
90,2011,421010020001,208
91,2011,421010020002,124
92,2011,421010021001,130
93,2011,421010021002,354
94,2011,421010022001,147
95,2011,421010022002,199
96,2011,421010022003,209
97,2011,421010023001,61
98,2011,421010023002,161
99,2011,421010024001,57
100,2011,421010024002,102
101,2011,421010024003,146
102,2011,421010024004,64
103,2011,421010024005,207
104,2011,421010025001,53
105,2011,421010025002,86
106,2011,421010025003,33
107,2011,421010025004,151
108,2011,421010027011,51
109,2011,421010027012,126
110,2011,421010027013,99
111,2011,421010027021,100
112,2011,421010027022,96
113,2011,421010027023,60
114,2011,421010027024,63
115,2011,421010028011,88
116,2011,421010028012,124
117,2011,421010028013,89
118,2011,421010028021,92
119,2011,421010028022,60
120,2011,421010028023,80
121,2011,421010028024,83
122,2011,421010028025,102
123,2011,421010029001,105
124,2011,421010029002,62
125,2011,421010029003,179
126,2011,421010030011,79
127,2011,421010030012,123
128,2011,421010030013,119
