GEOID,year_evictions,eviction-filings,evictions,low-flag,imputed,subbed,evictions_t-1,evictions_t-2,evictions_t-5,year_features,crime_count,violations_count,total_population,total_households,total_renter_households,renter_occupied_household_size,median_gross_rent,median_household_income,units,occupied_units,vacant_units,for_rent_units,num_af_am_alone,num_hisp,black_alone_owner_occupied,num_with_high_school_degree,num_with_ged,num_unemployed
421010001001,2010,16.0,13.0,0,0,1,8.0,10.0,9.0,2009.0,,,327.0,189.0,94.0,1.98,1805,157670,220.0,189.0,94.0,0.0,0.0,0.0,0.0,,,
421010001001,2011,17.0,7.0,0,0,1,13.0,8.0,3.0,2010.0,,,1348.0,934.0,728.0,1.50,1406,66319,1173.0,934.0,728.0,38.0,76.0,94.0,14.0,,,
421010001001,2012,14.0,7.0,0,0,1,7.0,13.0,13.0,2011.0,351.0,,1409.0,1024.0,790.0,1.39,1398,68000,1347.0,1024.0,790.0,124.0,104.0,111.0,12.0,,,0.0
421010001001,2013,15.0,9.0,0,0,1,7.0,7.0,10.0,2012.0,607.0,,1546.0,1094.0,826.0,1.43,1401,64208,1481.0,1094.0,826.0,139.0,88.0,122.0,12.0,52.0,0.0,0.0
421010001001,2014,13.0,4.0,0,0,1,9.0,7.0,8.0,2013.0,395.0,,1668.0,1126.0,823.0,1.46,1452.0,68750.0,1489.0,1126.0,823.0,155.0,89.0,57.0,12.0,53.0,0.0,0.0
421010001001,2015,22.0,9.0,0,0,1,4.0,9.0,13.0,2014.0,340.0,,1731.0,1152.0,851.0,1.45,1563.0,80952.0,1474.0,1152.0,851.0,193.0,120.0,46.0,12.0,37.0,23.0,0.0
421010001001,2016,17.0,10.0,0,0,1,9.0,4.0,7.0,2015.0,426.0,,1782.0,1171.0,886.0,1.51,1469.0,90898.0,1374.0,1171.0,886.0,162.0,130.0,61.0,12.0,88.0,43.0,0.0
421010001002,2010,8.0,5.0,0,0,1,3.0,7.0,6.0,2009.0,,,541.0,388.0,265.0,1.47,1621,62679,416.0,388.0,265.0,0.0,0.0,66.0,0.0,,,
421010001002,2011,6.0,4.0,0,0,1,5.0,3.0,7.0,2010.0,,,1694.0,1099.0,462.0,1.27,1431,83607,1282.0,1099.0,462.0,0.0,124.0,80.0,13.0,,,
421010001002,2012,8.0,0.0,0,0,1,4.0,5.0,7.0,2011.0,241.0,,1618.0,1035.0,522.0,1.39,1521,91477,1234.0,1035.0,522.0,31.0,71.0,23.0,24.0,,,46.0
421010001002,2013,10.0,3.0,0,0,1,0.0,4.0,7.0,2012.0,225.0,,1637.0,1049.0,614.0,1.46,1609,93021,1185.0,1049.0,614.0,37.0,59.0,54.0,26.0,196.0,19.0,61.0
421010001002,2014,13.0,8.0,0,0,1,3.0,0.0,3.0,2013.0,208.0,,1731.0,1013.0,624.0,1.6,1674.0,98897.0,1135.0,1013.0,624.0,32.0,242.0,70.0,70.0,221.0,20.0,66.0
421010001002,2015,9.0,3.0,0,0,1,8.0,3.0,5.0,2014.0,207.0,,1796.0,1035.0,695.0,1.65,1693.0,100888.0,1136.0,1035.0,695.0,27.0,249.0,142.0,64.0,167.0,20.0,62.0
421010001002,2016,8.0,6.0,0,0,1,3.0,8.0,4.0,2015.0,251.0,,1826.0,1040.0,688.0,1.62,1645.0,100259.0,1224.0,1040.0,688.0,23.0,231.0,123.0,57.0,137.0,0.0,69.0
421010002001,2010,6.0,1.0,0,0,1,5.0,7.0,0.0,2009.0,,,261.0,138.0,55.0,2.27,1583,92500,149.0,138.0,55.0,0.0,0.0,15.0,0.0,,,
