feature,importance
evictions_t-2_scaled,0.35225566583200574
evictions_t-1_scaled,0.273492554583778
evictions_change_1,0.14923178364096024
evictions_change_2,0.13053331391162948
evictions_change_5,0.025996783523402282
evictions_t-5_scaled,0.01869180732845344
for_rent_units_percent,0.004704096631885504
median_gross_rent_scaled,0.0028995512567997176
num_unemployed_scaled,0.0028802594375516174
units_scaled,0.0028091920067765327
renter_occupied_household_size_scaled,0.0028059273023221874
median_household_income_scaled,0.002705548460413805
total_renter_households_percent,0.0023721135179058757
num_af_am_alone_scaled,0.0021826563187524466
vacant_units_percent,0.0019473645329918087
num_white_alone_scaled,0.001944554366031327
crime_count_scaled,0.0018486802393853326
for_rent_units_scaled,0.0018103514567804283
num_unemployed_percent,0.0016747278735601574
evictions_change_2_binary,0.001648747310242457
black_alone_owner_occupied_scaled,0.001608242722375577
total_population_scaled,0.001442111321987752
evictions_change_5_binary,0.0013694651203845166
evictions_change_1_binary,0.0013064623596347206
num_af_am_alone_percent,0.0012278982485000995
black_alone_owner_occupied_percent,0.0011963869044311324
total_renter_households_scaled,0.0011099910099686074
num_white_alone_percent,0.0009860620041268853
total_households_scaled,0.0007251903240395098
num_hisp_percent,0.0006964017232443057
vacant_units_scaled,0.0006383076331937992
crime_count_percent,0.0005569258947280827
occupied_units_scaled,0.0005029781329376076
num_hisp_percent_impute_flag,0.0002882276696903125
violations_count_percent,0.0002804719219385645
renter_occupied_household_size_impute_flag,0.00024724213737519385
num_hisp_scaled,0.00017844054063188437
num_hisp_impute_flag,0.00016351204377789222
median_gross_rent_impute_flag,0.00013211281424974644
violations_count_percent_impute_flag,0.00011752009960958175
num_unemployed_percent_binary,0.00010775258333596873
num_unemployed_percent_impute_flag,8.161184871383335e-05
black_alone_owner_occupied_percent_impute_flag,8.128796088556603e-05
total_population_impute_flag,7.793332730701149e-05
occupied_units_impute_flag,5.815949663245602e-05
vacant_units_impute_flag,5.3888772201454855e-05
crime_count_percent_binary,4.388956428943248e-05
units_impute_flag,4.0673045658688644e-05
num_af_am_alone_percent_impute_flag,3.5032704460469396e-05
vacant_units_percent_binary,2.6814151514662993e-05
black_alone_owner_occupied_impute_flag,2.5186909410184747e-05
total_renter_households_percent_impute_flag,2.427335564454786e-05
num_white_alone_impute_flag,1.9758978520958376e-05
median_household_income_impute_flag,1.8872014638801847e-05
num_white_alone_percent_impute_flag,1.6597503987020188e-05
majority_white,1.3756158673910894e-05
total_renter_households_impute_flag,1.3378876212375782e-05
for_rent_units_impute_flag,1.1331623242087395e-05
total_renter_households_percent_binary,1.118073248710015e-05
num_af_am_alone_impute_flag,9.943387671608995e-06
majority_af_am,6.053987628615998e-06
num_unemployed_impute_flag,4.502538802176067e-06
vacant_units_percent_impute_flag,3.7996813862688832e-06
for_rent_units_percent_impute_flag,2.9417546675437104e-06
crime_count_percent_impute_flag,9.750207995052072e-07
majority_hisp,6.23775808625433e-07
total_households_impute_flag,1.494963935800868e-07
violations_count_scaled,5.905714246439253e-10
violations_count_percent_binary,0.0
low-flag,0.0
evictions_change_5_binary_impute_flag,0.0
evictions_change_2_binary_impute_flag,0.0
subbed,0.0
evictions_t-1_impute_flag,0.0
evictions_t-2_impute_flag,0.0
evictions_t-5_impute_flag,0.0
crime_count_impute_flag,0.0
violations_count_impute_flag,0.0
num_with_high_school_degree_impute_flag,0.0
num_with_ged_impute_flag,0.0
evictions_change_1_impute_flag,0.0
imputed,0.0
evictions_change_5_impute_flag,0.0
num_with_high_school_degree_percent_impute_flag,0.0
num_with_ged_percent_impute_flag,0.0
majority_af_am_impute_flag,0.0
majority_hisp_impute_flag,0.0
majority_white_impute_flag,0.0
evictions_change_1_binary_impute_flag,0.0
evictions_change_2_impute_flag,0.0
