feature,importance
evictions_t-1_scaled,0.7200905104482862
evictions_change_1,0.25261506582472726
evictions_t-2_scaled,0.020332267670294765
evictions_t-5_scaled,0.001611075342740409
evictions_change_5,0.0015307809818564204
evictions_change_5_binary,0.0014979169626548228
median_gross_rent_scaled,0.0003705919510145413
evictions_change_2,0.00031389611841460893
evictions_change_2_binary,0.0002639959703473721
evictions_change_1_binary,0.0002447425944877676
num_white_alone_scaled,0.00023271598496338422
crime_count_scaled,0.00010725077316470036
vacant_units_percent,8.373819078497568e-05
num_hisp_percent,7.622526020049988e-05
num_with_ged_impute_flag,7.288603070394436e-05
vacant_units_scaled,7.246872013998893e-05
total_renter_households_percent,6.624683353314046e-05
total_renter_households_scaled,5.113921939750741e-05
num_unemployed_scaled,5.047864424941671e-05
num_unemployed_percent,4.780428001925343e-05
median_household_income_scaled,4.663727355408826e-05
renter_occupied_household_size_scaled,3.567942002645854e-05
units_scaled,3.051766384069879e-05
crime_count_percent,2.8876816162183165e-05
num_af_am_alone_scaled,2.654629676692828e-05
num_hisp_scaled,1.4117769624703916e-05
occupied_units_scaled,1.1488010785678737e-05
num_with_ged_percent,1.0664877533952342e-05
num_white_alone_percent,1.0056681996475524e-05
for_rent_units_percent,9.087210358314223e-06
num_with_high_school_degree_scaled,7.51014066522605e-06
num_af_am_alone_percent,7.4768572754115086e-06
total_population_scaled,6.408080921689574e-06
num_with_high_school_degree_percent,4.286137642125506e-06
for_rent_units_scaled,3.962285162058377e-06
num_with_ged_scaled,2.9888456936599557e-06
majority_white,2.7982540178639655e-06
black_alone_owner_occupied_percent,1.958024726071051e-06
majority_af_am,1.6592531884577016e-06
black_alone_owner_occupied_scaled,1.586000028118189e-06
num_hisp_percent_impute_flag,1.5860000281176883e-06
black_alone_owner_occupied_impute_flag,1.2976363866433204e-06
total_renter_households_impute_flag,6.161616270853232e-07
total_households_scaled,3.965000070294095e-07
majority_hisp_impute_flag,0.0
majority_white_impute_flag,0.0
evictions_change_5_binary_impute_flag,0.0
evictions_change_1_binary_impute_flag,0.0
evictions_change_2_binary_impute_flag,0.0
majority_af_am_impute_flag,0.0
low-flag,0.0
violations_count_scaled,0.0
num_with_ged_percent_impute_flag,0.0
crime_count_percent_binary,0.0
violations_count_percent_binary,0.0
vacant_units_percent_binary,0.0
total_renter_households_percent_binary,0.0
num_unemployed_percent_impute_flag,0.0
evictions_change_2_impute_flag,0.0
num_with_high_school_degree_percent_impute_flag,0.0
violations_count_impute_flag,0.0
units_impute_flag,0.0
median_household_income_impute_flag,0.0
median_gross_rent_impute_flag,0.0
renter_occupied_household_size_impute_flag,0.0
total_households_impute_flag,0.0
total_population_impute_flag,0.0
crime_count_impute_flag,0.0
vacant_units_impute_flag,0.0
evictions_t-5_impute_flag,0.0
evictions_t-2_impute_flag,0.0
evictions_t-1_impute_flag,0.0
majority_hisp,0.0
violations_count_percent,0.0
subbed,0.0
occupied_units_impute_flag,0.0
for_rent_units_impute_flag,0.0
black_alone_owner_occupied_percent_impute_flag,0.0
crime_count_percent_impute_flag,0.0
num_white_alone_percent_impute_flag,0.0
num_af_am_alone_percent_impute_flag,0.0
for_rent_units_percent_impute_flag,0.0
vacant_units_percent_impute_flag,0.0
total_renter_households_percent_impute_flag,0.0
violations_count_percent_impute_flag,0.0
evictions_change_5_impute_flag,0.0
num_white_alone_impute_flag,0.0
imputed,0.0
evictions_change_1_impute_flag,0.0
num_unemployed_impute_flag,0.0
num_with_high_school_degree_impute_flag,0.0
num_hisp_impute_flag,0.0
num_af_am_alone_impute_flag,0.0
num_unemployed_percent_binary,0.0
