accuracy,auc,classifier,f1,parameters,precision,recall,split,threshold
0.9348802395209581,0.8306638613101892,LR,0.7590027700831025,"{'C': 0.01, 'penalty': 'l1'}",0.85625,0.681592039800995,1,12
0.9281437125748503,0.8717338418041947,LR,0.7681159420289855,"{'C': 0.01, 'penalty': 'l1'}",0.7464788732394366,0.7910447761194029,1,16
0.9041916167664671,0.8801542946062638,LR,0.7264957264957265,"{'C': 0.01, 'penalty': 'l1'}",0.6367041198501873,0.845771144278607,1,20
0.937874251497006,0.836520042957021,LR,0.7700831024930748,"{'C': 0.01, 'penalty': 'l2'}",0.86875,0.6915422885572139,1,12
0.9356287425149701,0.8863742959212746,LR,0.7922705314009663,"{'C': 0.01, 'penalty': 'l2'}",0.7699530516431925,0.8159203980099502,1,16
0.9176646706586826,0.9065071120170075,LR,0.764957264957265,"{'C': 0.01, 'penalty': 'l2'}",0.6704119850187266,0.8905472636815921,1,20
0.9498502994011976,0.8599447695443488,LR,0.814404432132964,"{'C': 0.1, 'penalty': 'l1'}",0.91875,0.7313432835820896,1,12
0.9520958083832335,0.9185832949788503,LR,0.8454106280193237,"{'C': 0.1, 'penalty': 'l1'}",0.8215962441314554,0.8706467661691543,1,16
0.9326347305389222,0.9357880202511671,LR,0.8076923076923077,"{'C': 0.1, 'penalty': 'l1'}",0.7078651685393258,0.9402985074626866,1,20
0.9483532934131736,0.8570166787209327,LR,0.8088642659279778,"{'C': 0.1, 'penalty': 'l2'}",0.9125,0.7263681592039801,1,12
0.9520958083832335,0.9185832949788503,LR,0.8454106280193237,"{'C': 0.1, 'penalty': 'l2'}",0.8215962441314554,0.8706467661691543,1,16
0.9326347305389222,0.9357880202511671,LR,0.8076923076923077,"{'C': 0.1, 'penalty': 'l2'}",0.7078651685393258,0.9402985074626866,1,20
0.9154191616766467,0.7925986806057816,KNN,0.6869806094182825,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.775,0.6169154228855721,1,12
0.907185628742515,0.8307405702763714,KNN,0.7004830917874396,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.6807511737089202,0.7213930348258707,1,16
0.8877245508982036,0.8479452955486882,KNN,0.6794871794871795,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.5955056179775281,0.7910447761194029,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.8,0.6368159203980099,1,12
0.9101796407185628,0.8365967519232034,KNN,0.7101449275362318,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.6901408450704225,0.7313432835820896,1,16
0.8907185628742516,0.8538014771955202,KNN,0.688034188034188,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.602996254681648,0.8009950248756219,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.8,0.6368159203980099,1,12
0.9101796407185628,0.8365967519232034,KNN,0.7101449275362318,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.6901408450704225,0.7313432835820896,1,16
0.8967065868263473,0.865513840489184,KNN,0.7051282051282053,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.6179775280898876,0.8208955223880597,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'}",0.8,0.6368159203980099,1,12
0.9176646706586826,0.8512372060402833,KNN,0.7342995169082126,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'}",0.7136150234741784,0.7562189054726368,1,16
0.9026946107784432,0.8772262037828478,KNN,0.7222222222222222,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'}",0.6329588014981273,0.8407960199004975,1,20
0.9154191616766467,0.7925986806057816,KNN,0.6869806094182825,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.775,0.6169154228855721,1,12
0.907185628742515,0.8307405702763714,KNN,0.7004830917874396,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.6807511737089202,0.7213930348258707,1,16
0.8877245508982036,0.8479452955486882,KNN,0.6794871794871795,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.5955056179775281,0.7910447761194029,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.8,0.6368159203980099,1,12
0.9101796407185628,0.8365967519232034,KNN,0.7101449275362318,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.6901408450704225,0.7313432835820896,1,16
0.8907185628742516,0.8538014771955202,KNN,0.688034188034188,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.602996254681648,0.8009950248756219,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.8,0.6368159203980099,1,12
0.9101796407185628,0.8365967519232034,KNN,0.7101449275362318,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.6901408450704225,0.7313432835820896,1,16
0.8967065868263473,0.865513840489184,KNN,0.7051282051282053,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.6179775280898876,0.8208955223880597,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.8,0.6368159203980099,1,12
0.9176646706586826,0.8512372060402833,KNN,0.7342995169082126,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.7136150234741784,0.7562189054726368,1,16
0.9026946107784432,0.8772262037828478,KNN,0.7222222222222222,"{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.6329588014981273,0.8407960199004975,1,20
0.9154191616766467,0.7925986806057816,KNN,0.6869806094182825,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.775,0.6169154228855721,1,12
0.907185628742515,0.8307405702763714,KNN,0.7004830917874396,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.6807511737089202,0.7213930348258707,1,16
0.8877245508982036,0.8479452955486882,KNN,0.6794871794871795,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.5955056179775281,0.7910447761194029,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.8,0.6368159203980099,1,12
0.9101796407185628,0.8365967519232034,KNN,0.7101449275362318,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.6901408450704225,0.7313432835820896,1,16
0.8907185628742516,0.8538014771955202,KNN,0.688034188034188,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.602996254681648,0.8009950248756219,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.8,0.6368159203980099,1,12
0.9101796407185628,0.8365967519232034,KNN,0.7101449275362318,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.6901408450704225,0.7313432835820896,1,16
0.8967065868263473,0.865513840489184,KNN,0.7051282051282053,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.6179775280898876,0.8208955223880597,1,20
0.9214071856287425,0.8043110438994455,KNN,0.709141274238227,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.8,0.6368159203980099,1,12
0.9176646706586826,0.8512372060402833,KNN,0.7342995169082126,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.7136150234741784,0.7562189054726368,1,16
0.9026946107784432,0.8772262037828478,KNN,0.7222222222222222,"{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.6329588014981273,0.8407960199004975,1,20
0.9453592814371258,0.8511604970741008,DT,0.7977839335180056,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.9,0.7164179104477612,1,12
0.937125748502994,0.8893023867446905,DT,0.7971014492753623,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.7746478873239436,0.8208955223880597,1,16
0.8997005988023952,0.871370022136016,DT,0.7136752136752136,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.6254681647940075,0.8308457711442786,1,20
0.9453592814371258,0.8511604970741008,DT,0.7977839335180056,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.9,0.7164179104477612,1,12
0.937125748502994,0.8893023867446905,DT,0.7971014492753623,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.7746478873239436,0.8208955223880597,1,16
0.8997005988023952,0.871370022136016,DT,0.7136752136752136,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.6254681647940075,0.8308457711442786,1,20
0.936377245508982,0.833591952133605,DT,0.7645429362880887,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.8625,0.6865671641791045,1,12
0.937125748502994,0.8893023867446905,DT,0.7971014492753623,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.7746478873239436,0.8208955223880597,1,16
0.8982035928143712,0.8684419313126001,DT,0.7094017094017094,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6217228464419475,0.8258706467661692,1,20
0.9498502994011976,0.8599447695443488,DT,0.814404432132964,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.91875,0.7313432835820896,1,12
0.938622754491018,0.8922304775681066,DT,0.8019323671497584,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.7793427230046949,0.8258706467661692,1,16
0.905688622754491,0.8830823854296799,DT,0.7307692307692307,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.6404494382022472,0.8507462686567164,1,20
0.9348802395209581,0.8306638613101892,DT,0.7590027700831025,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.85625,0.681592039800995,1,12
0.9266467065868264,0.868805750980779,DT,0.7632850241545893,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.7417840375586855,0.7860696517412935,1,16
0.9101796407185628,0.8918666578999276,DT,0.7435897435897435,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.651685393258427,0.8656716417910447,1,20
