accuracy,auc,classifier,f1,parameters,precision,recall,split,threshold
0.938622754491018,0.8839029930586189,LR,0.7696629213483145,"{'C': 0.01, 'penalty': 'l1'}",0.732620320855615,0.8106508875739645,1,14
0.8944610778443114,0.9016367259396724,LR,0.6859688195991093,"{'C': 0.01, 'penalty': 'l1'}",0.55,0.9112426035502958,1,21
0.8345808383233533,0.8850717208439178,LR,0.5930018416206262,"{'C': 0.01, 'penalty': 'l1'}",0.4304812834224599,0.9526627218934911,1,28
0.9550898203592815,0.9211603109170837,LR,0.8314606741573034,"{'C': 0.01, 'penalty': 'l2'}",0.7914438502673797,0.8757396449704142,1,14
0.9139221556886228,0.9456681015905852,LR,0.7438752783964365,"{'C': 0.01, 'penalty': 'l2'}",0.5964285714285714,0.9881656804733728,1,21
0.8465568862275449,0.9121679520137104,LR,0.6224677716390423,"{'C': 0.01, 'penalty': 'l2'}",0.45187165775401067,1.0,1,28
0.9670658682634731,0.9482565420868764,LR,0.8764044943820225,"{'C': 0.1, 'penalty': 'l1'}",0.8342245989304813,0.9230769230769231,1,14
0.9169161676646707,0.9524421593830334,LR,0.7527839643652561,"{'C': 0.1, 'penalty': 'l1'}",0.6035714285714285,1.0,1,21
0.8465568862275449,0.9121679520137104,LR,0.6224677716390423,"{'C': 0.1, 'penalty': 'l1'}",0.45187165775401067,1.0,1,28
0.9655688622754491,0.9448695131906523,LR,0.8707865168539326,"{'C': 0.1, 'penalty': 'l2'}",0.8288770053475936,0.9171597633136095,1,14
0.9169161676646707,0.9524421593830334,LR,0.7527839643652561,"{'C': 0.1, 'penalty': 'l2'}",0.6035714285714285,1.0,1,21
0.8465568862275449,0.9121679520137104,LR,0.6224677716390423,"{'C': 0.1, 'penalty': 'l2'}",0.45187165775401067,1.0,1,28
0.9191616766467066,0.8398716174077061,KNN,0.696629213483146,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.6631016042780749,0.7337278106508875,1,14
0.8705089820359282,0.8474442636000872,KNN,0.6146993318485524,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.4928571428571429,0.8165680473372781,1,21
0.8151197604790419,0.8410403451930049,KNN,0.5451197053406999,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.39572192513368987,0.8757396449704142,1,28
0.9191616766467066,0.8398716174077061,KNN,0.696629213483146,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.6631016042780749,0.7337278106508875,1,14
0.8735029940119761,0.8542183213925354,KNN,0.623608017817372,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.5,0.8284023668639053,1,21
0.813622754491018,0.8376533162967807,KNN,0.5414364640883979,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.393048128342246,0.8698224852071006,1,28
0.9266467065868264,0.8568067618888264,KNN,0.7247191011235955,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.6898395721925134,0.7633136094674556,1,14
0.8809880239520959,0.8711534658736557,KNN,0.645879732739421,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.5178571428571429,0.8579881656804734,1,21
0.8241017964071856,0.8613625185703493,KNN,0.567219152854512,"{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'}",0.4117647058823529,0.9112426035502958,1,28
