feature,importance
evictions_t-1_scaled,0.7210064469686563
evictions_change_1,0.25030471281014177
evictions_t-2_scaled,0.019500939800825505
evictions_change_5,0.0030130674627349393
evictions_change_5_binary,0.0023689521570386843
evictions_t-5_scaled,0.0014305028945273642
vacant_units_percent,0.0004134627565825823
evictions_change_1_binary,0.0003236388110609908
evictions_change_2_binary,0.0002640021579127246
num_white_alone_scaled,0.00023272143938514542
evictions_change_2,0.00019637405219218468
num_af_am_alone_scaled,0.00011752942335270175
crime_count_scaled,0.00011372862645486626
num_af_am_alone_percent,9.020551614875027e-05
total_renter_households_scaled,8.399062775921108e-05
num_hisp_percent,7.622704677617519e-05
num_with_ged_percent_impute_flag,7.288773901440709e-05
median_household_income_scaled,4.663836664341685e-05
median_gross_rent_scaled,4.51580036382568e-05
num_unemployed_percent,4.130611221587982e-05
renter_occupied_household_size_scaled,4.0967046954305084e-05
vacant_units_scaled,3.030773459520146e-05
total_renter_households_percent,2.962523190527085e-05
crime_count_percent,2.8877492980041183e-05
num_unemployed_scaled,1.9933925725206266e-05
units_scaled,1.81154590542747e-05
num_hisp_scaled,1.2532063317523165e-05
num_with_ged_percent,1.0665127498475023e-05
for_rent_units_percent,9.087423345307508e-06
num_with_high_school_degree_scaled,7.166320260370626e-06
num_with_high_school_degree_percent,6.8095671277402355e-06
total_households_scaled,5.238283920434096e-06
total_population_scaled,4.830409594927373e-06
num_white_alone_percent,4.457611681844957e-06
num_unemployed_impute_flag,4.229432535876621e-06
num_unemployed_percent_impute_flag,3.844938668977644e-06
black_alone_owner_occupied_percent,3.5064526152130584e-06
occupied_units_scaled,3.2940772635178837e-06
for_rent_units_scaled,3.19873048931551e-06
num_with_ged_scaled,2.9889157465400572e-06
total_renter_households_percent_binary,2.745064386266147e-06
black_alone_owner_occupied_scaled,1.5860372009538584e-06
num_hisp_percent_impute_flag,1.5860372009533576e-06
for_rent_units_percent_impute_flag,1.2976668007815951e-06
black_alone_owner_occupied_impute_flag,6.161760687464224e-07
vacant_units_percent_binary,0.0
num_with_high_school_degree_percent_impute_flag,0.0
evictions_change_5_binary_impute_flag,0.0
evictions_change_2_binary_impute_flag,0.0
evictions_change_1_binary_impute_flag,0.0
majority_white_impute_flag,0.0
majority_hisp_impute_flag,0.0
majority_af_am_impute_flag,0.0
violations_count_scaled,0.0
violations_count_percent_binary,0.0
crime_count_percent_binary,0.0
low-flag,0.0
evictions_change_2_impute_flag,0.0
black_alone_owner_occupied_percent_impute_flag,0.0
num_white_alone_percent_impute_flag,0.0
median_gross_rent_impute_flag,0.0
renter_occupied_household_size_impute_flag,0.0
total_renter_households_impute_flag,0.0
total_households_impute_flag,0.0
total_population_impute_flag,0.0
violations_count_impute_flag,0.0
crime_count_impute_flag,0.0
evictions_t-5_impute_flag,0.0
evictions_t-2_impute_flag,0.0
evictions_t-1_impute_flag,0.0
majority_white,0.0
majority_hisp,0.0
majority_af_am,0.0
violations_count_percent,0.0
subbed,0.0
median_household_income_impute_flag,0.0
units_impute_flag,0.0
occupied_units_impute_flag,0.0
imputed,0.0
num_af_am_alone_percent_impute_flag,0.0
vacant_units_percent_impute_flag,0.0
total_renter_households_percent_impute_flag,0.0
violations_count_percent_impute_flag,0.0
crime_count_percent_impute_flag,0.0
evictions_change_5_impute_flag,0.0
evictions_change_1_impute_flag,0.0
vacant_units_impute_flag,0.0
num_with_ged_impute_flag,0.0
num_with_high_school_degree_impute_flag,0.0
num_hisp_impute_flag,0.0
num_af_am_alone_impute_flag,0.0
num_white_alone_impute_flag,0.0
for_rent_units_impute_flag,0.0
num_unemployed_percent_binary,0.0
