classifier,explained_variance,mean_squared_error,parameters,r2,root_mean_squared_error,split
SVR,0.8397065919425166,12.695375265753698,{'C': 0.01},0.8343582793932891,3.563057011297139,1
SVR,0.8735715931385462,9.825588988397131,{'C': 0.1},0.8718015472608537,3.1345795552828344,1
DTR,0.8373199782491902,12.475850600197537,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.8372225069215942,3.5321170139446876,1
DTR,0.8560961492418805,11.035075899598734,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.856020879984073,3.321908472489682,1
DTR,0.8217977047796835,13.693265054897667,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8213384057629635,3.7004411973300786,1
DTR,0.8873626992959428,8.639221556886227,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 2}",0.8872805652901458,2.9392552724944165,1
DTR,0.8877367053675858,8.611854416167667,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.8876376354973523,2.934596124881185,1
DTR,0.8821469069562254,9.05299007274095,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.8818819593045516,3.0088187171614296,1
RFR,0.7509606965317143,19.208550315782148,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.7493782375027854,4.3827560182814365,1
RFR,0.7666808324002546,17.997632694410225,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.7651775718366117,4.242361688306435,1
RFR,0.7686606538034481,17.818463769301864,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.7675152616183594,4.221192221316374,1
RFR,0.7652828313490896,18.09551044976738,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.7639005209840689,4.253881809567278,1
RFR,0.7470283132791987,19.471669893268803,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.7459452094411598,4.412671514317466,1
RFR,0.7516358681697708,19.165988994830098,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.7499335523545496,4.377897782592702,1
RFR,0.6875125716937797,24.11110039967103,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.6854126741179429,4.910305530175392,1
RFR,0.6829205708503809,24.509248457797867,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.6802178745926188,4.950681615474567,1
RFR,0.6783047247956054,24.89370972776674,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.675201652154825,4.989359651074148,1
RFR,0.6964040824379463,23.451448610071026,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.6940194191052605,4.8426695747357185,1
RFR,0.6564996633153741,26.607955294358977,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.6528351935627161,5.158289958344623,1
RFR,0.6765723923752953,24.992914402190756,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.6739072884499451,4.999291390006263,1
RFR,0.8337361058708826,12.924503551421116,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.831368749530395,3.59506655730059,1
RFR,0.8413611801235084,12.330915185607507,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.8391135381788033,3.5115402867698253,1
RFR,0.8462605851626117,11.918235362307772,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.844497939550178,3.4522797340754083,1
RFR,0.8396406598699425,12.489433002813458,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8370452917946539,3.534039190899481,1
RFR,0.8238988258606168,13.758964840403397,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8204811939604878,3.70930786541147,1
RFR,0.8206825347704374,13.9841376969065,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8175432721894225,3.7395370966078807,1
RFR,0.7976284930570653,15.726298882624429,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.7948125871694226,3.965639782257641,1
RFR,0.801211657901228,15.480308644269668,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.7980221217818773,3.93450233756058,1
RFR,0.7880353056576115,16.520983361801708,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.7844440158026936,4.064601254957454,1
RFR,0.7924889290849678,16.164969566652225,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.7890890724752098,4.020568313889496,1
RFR,0.7652493215958533,18.286144732840075,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.7614132380173362,4.276230201104715,1
RFR,0.7747914687435036,17.581896761373315,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.7706018475137578,4.193077242476379,1
SVR,0.8545336163260779,12.914411324369535,{'C': 0.01},0.8255581576314148,3.593662661459689,2
SVR,0.8651519215445096,11.687619091157059,{'C': 0.1},0.8421290947024085,3.418716000365789,2
DTR,0.8692611378040973,9.679046801872987,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.8692599519960765,3.111116648708786,2
DTR,0.8771791380601082,9.092823415312777,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8771783839727743,3.015430883856033,2
DTR,0.868540434266848,9.732565599854311,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8685370450445535,3.119706011766864,2
DTR,0.9352933742331474,4.790419161676646,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 2}",0.935293253150163,2.188702620658331,2
DTR,0.9408853224253204,4.376907643047239,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.9408787738013621,2.0921060305460712,2
DTR,0.9403779236351897,4.413989512825256,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.9403778892066192,2.1009496692746485,2
RFR,0.7919240126145396,15.41260463275796,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.7918137280664519,3.9258890245087112,2
RFR,0.8057579439792477,14.39127924391738,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.8056093148734921,3.793583957673453,2
RFR,0.8042479995077475,14.49990533607478,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8041420443050319,3.8078741229293254,2
RFR,0.8068907558013763,14.305582319782705,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8067668689389387,3.7822721107533637,2
