classifier,explained_variance,mean_squared_error,parameters,r2,root_mean_squared_error,split
LR,0.8631123142807309,10.497589374392595,{},0.8630336851177842,3.2399983602453557,1
SVR,0.8273065182706911,13.909573217382585,{'C': 0.01},0.8185161452574445,3.7295540239259957,1
SVR,0.8693783155952157,10.147578723925397,{'C': 0.1},0.8676004163218987,3.185526443764892,1
DTR,0.7858819716945189,16.410774431267107,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.7858819565092768,4.051021405925561,1
DTR,0.8080216560670076,14.71881058396814,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8079576964542758,3.8365102090269665,1
DTR,0.8268735369769026,13.276336595540311,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8267782408156659,3.6436707583891703,1
DTR,0.7917913643768296,15.957896706586826,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 2}",0.7917908362367514,3.9947336214805143,1
DTR,0.8074438868507595,14.766337117431805,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.8073375984569657,3.8426991968448174,1
DTR,0.8161087207190268,14.094759135946736,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.8160999493167191,3.754298754221184,1
RFR,0.7943671141644011,15.8058841986592,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.7937742052069303,3.975661479384179,1
RFR,0.788104490289846,16.32499571980293,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.787001146218988,4.0404202404951555,1
RFR,0.7765895894332325,17.212001086589353,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.7754280267115854,4.148734877837984,1
RFR,0.7876423110072845,16.35287147552719,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.7866374399050963,4.043868380094386,1
RFR,0.7675577606424147,17.977661016323243,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.7654381504372818,4.240007195315032,1
RFR,0.7798389825925927,16.971467656478417,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.7785663641291871,4.119644117697355,1
RFR,0.7535751133644653,19.09310656631735,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.7508844790194283,4.369565947129915,1
RFR,0.7617284454182948,18.37101962293836,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.760305840832307,4.286142744116015,1
RFR,0.7630697024695113,18.267024101008285,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.761662712671642,4.273993928517949,1
RFR,0.7643475624813143,18.165913778134463,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.7629819401463191,4.2621489624524465,1
