feature,importance
evictions_t-1_scaled,0.7202767388714301
evictions_change_1,0.250428174850941
evictions_t-2_scaled,0.02029478731590801
evictions_change_5,0.005382067547362738
evictions_t-5_scaled,0.0014347619870742105
evictions_change_2,0.00041333160869120537
vacant_units_percent,0.00040753439171070356
evictions_change_2_binary,0.00025415457097843004
num_white_alone_scaled,0.00022948189230507715
evictions_change_1_binary,0.00018960649361194612
num_white_alone_percent,9.351059757900496e-05
num_unemployed_percent,7.194927021022857e-05
num_hisp_percent,6.918849574564164e-05
for_rent_units_percent,6.821543891314094e-05
total_renter_households_scaled,5.9008643839497715e-05
num_unemployed_scaled,5.1109056573843945e-05
median_household_income_scaled,4.998127228296374e-05
median_gross_rent_scaled,4.405424420943177e-05
crime_count_percent,4.21057845253986e-05
renter_occupied_household_size_scaled,3.0462210644816667e-05
total_households_scaled,1.892363776539058e-05
num_with_high_school_degree_scaled,1.0637112313172881e-05
num_with_high_school_degree_percent,1.0217157706544693e-05
num_with_ged_scaled,9.062587380225648e-06
crime_count_scaled,8.81406486514319e-06
total_population_scaled,8.594787933225636e-06
num_hisp_scaled,8.487784384349934e-06
num_af_am_alone_percent,7.47663458868571e-06
total_renter_households_percent,6.963959373104921e-06
units_scaled,4.694372797104379e-06
for_rent_units_scaled,3.1985602518421605e-06
majority_white,2.7981706761600597e-06
total_renter_households_percent_binary,2.744918293049835e-06
num_af_am_alone_scaled,1.9579664093078416e-06
black_alone_owner_occupied_scaled,1.5859527915399893e-06
num_hisp_percent_impute_flag,1.5859527915394885e-06
vacant_units_percent_impute_flag,1.297597738533884e-06
black_alone_owner_occupied_impute_flag,7.342374034904814e-07
occupied_units_scaled,0.0
majority_white_impute_flag,0.0
black_alone_owner_occupied_percent_impute_flag,0.0
num_with_high_school_degree_percent_impute_flag,0.0
num_with_ged_percent_impute_flag,0.0
num_unemployed_percent_impute_flag,0.0
majority_af_am_impute_flag,0.0
majority_hisp_impute_flag,0.0
evictions_change_1_binary_impute_flag,0.0
vacant_units_scaled,0.0
evictions_change_2_binary_impute_flag,0.0
evictions_change_5_binary_impute_flag,0.0
vacant_units_percent_binary,0.0
violations_count_percent_binary,0.0
crime_count_percent_binary,0.0
num_white_alone_percent_impute_flag,0.0
violations_count_scaled,0.0
low-flag,0.0
evictions_change_2_impute_flag,0.0
num_af_am_alone_percent_impute_flag,0.0
median_gross_rent_impute_flag,0.0
total_renter_households_impute_flag,0.0
total_households_impute_flag,0.0
total_population_impute_flag,0.0
violations_count_impute_flag,0.0
crime_count_impute_flag,0.0
evictions_t-5_impute_flag,0.0
evictions_t-2_impute_flag,0.0
evictions_t-1_impute_flag,0.0
evictions_change_5_binary,0.0
majority_hisp,0.0
majority_af_am,0.0
num_with_ged_percent,0.0
black_alone_owner_occupied_percent,0.0
violations_count_percent,0.0
subbed,0.0
renter_occupied_household_size_impute_flag,0.0
median_household_income_impute_flag,0.0
for_rent_units_percent_impute_flag,0.0
units_impute_flag,0.0
total_renter_households_percent_impute_flag,0.0
violations_count_percent_impute_flag,0.0
crime_count_percent_impute_flag,0.0
evictions_change_5_impute_flag,0.0
imputed,0.0
evictions_change_1_impute_flag,0.0
num_unemployed_impute_flag,0.0
num_with_ged_impute_flag,0.0
num_with_high_school_degree_impute_flag,0.0
num_hisp_impute_flag,0.0
num_af_am_alone_impute_flag,0.0
num_white_alone_impute_flag,0.0
for_rent_units_impute_flag,0.0
vacant_units_impute_flag,0.0
occupied_units_impute_flag,0.0
num_unemployed_percent_binary,0.0
